fire insurance,count,percent
226.0,50,3.1928480204342273
53.0,49,3.128991060025543
121.0,43,2.7458492975734354
14.0,41,2.6181353767560664
91.0,40,2.554278416347382
68.0,39,2.4904214559386975
23.0,38,2.426564495530013
76.0,36,2.2988505747126435
25.0,35,2.234993614303959
61.0,35,2.234993614303959
151.0,33,2.10727969348659
31.0,32,2.0434227330779056
19.0,31,1.9795657726692208
17.0,31,1.9795657726692208
181.0,29,1.8518518518518519
46.0,29,1.8518518518518519
106.0,28,1.7879948914431674
34.0,28,1.7879948914431674
38.0,27,1.7241379310344827
20.0,26,1.6602809706257982
83.0,25,1.5964240102171137
22.0,24,1.5325670498084292
49.0,23,1.4687100893997447
26.0,22,1.40485312899106
136.0,22,1.40485312899106
16.0,21,1.3409961685823755
41.0,20,1.277139208173691
50.0,20,1.277139208173691
15.0,20,1.277139208173691
58.0,19,1.2132822477650065
28.0,19,1.2132822477650065
43.0,19,1.2132822477650065
13.0,19,1.2132822477650065
128.0,18,1.1494252873563218
27.0,17,1.0855683269476373
12.0,17,1.0855683269476373
37.0,16,1.0217113665389528
98.0,16,1.0217113665389528
64.0,15,0.9578544061302682
196.0,15,0.9578544061302682
40.0,15,0.9578544061302682
73.0,14,0.8939974457215837
39.0,13,0.8301404853128991
113.0,13,0.8301404853128991
56.0,11,0.70242656449553
211.0,11,0.70242656449553
18.0,11,0.70242656449553
71.0,10,0.6385696040868455
24.0,10,0.6385696040868455
166.0,10,0.6385696040868455
55.0,10,0.6385696040868455
59.0,10,0.6385696040868455
11.0,10,0.6385696040868455
109.0,10,0.6385696040868455
52.0,9,0.5747126436781609
21.0,9,0.5747126436781609
32.0,9,0.5747126436781609
70.0,9,0.5747126436781609
10.0,8,0.5108556832694764
65.0,8,0.5108556832694764
148.0,8,0.5108556832694764
29.0,8,0.5108556832694764
62.0,7,0.44699872286079184
30.0,6,0.3831417624521073
103.0,6,0.3831417624521073
35.0,6,0.3831417624521073
42.0,6,0.3831417624521073
115.0,6,0.3831417624521073
44.0,6,0.3831417624521073
143.0,6,0.3831417624521073
82.0,5,0.31928480204342274
97.0,5,0.31928480204342274
33.0,5,0.31928480204342274
48.0,5,0.31928480204342274
74.0,5,0.31928480204342274
188.0,5,0.31928480204342274
67.0,5,0.31928480204342274
45.0,5,0.31928480204342274
153.0,4,0.2554278416347382
47.0,4,0.2554278416347382
173.0,4,0.2554278416347382
66.0,4,0.2554278416347382
79.0,4,0.2554278416347382
60.0,4,0.2554278416347382
154.0,4,0.2554278416347382
94.0,4,0.2554278416347382
124.0,4,0.2554278416347382
85.0,4,0.2554278416347382
192.0,4,0.2554278416347382
57.0,3,0.19157088122605365
140.0,3,0.19157088122605365
125.0,3,0.19157088122605365
87.0,3,0.19157088122605365
88.0,3,0.19157088122605365
90.0,3,0.19157088122605365
77.0,3,0.19157088122605365
164.0,3,0.19157088122605365
130.0,3,0.19157088122605365
131.0,3,0.19157088122605365
197.0,3,0.19157088122605365
126.0,3,0.19157088122605365
8.0,3,0.19157088122605365
116.0,3,0.19157088122605365
134.0,3,0.19157088122605365
149.0,2,0.1277139208173691
127.0,2,0.1277139208173691
145.0,2,0.1277139208173691
139.0,2,0.1277139208173691
104.0,2,0.1277139208173691
119.0,2,0.1277139208173691
100.0,2,0.1277139208173691
158.0,2,0.1277139208173691
110.0,2,0.1277139208173691
191.0,2,0.1277139208173691
160.0,2,0.1277139208173691
99.0,2,0.1277139208173691
163.0,2,0.1277139208173691
89.0,2,0.1277139208173691
157.0,2,0.1277139208173691
54.0,2,0.1277139208173691
254.0,2,0.1277139208173691
210.0,2,0.1277139208173691
86.0,1,0.06385696040868455
129.0,1,0.06385696040868455
63.0,1,0.06385696040868455
92.0,1,0.06385696040868455
69.0,1,0.06385696040868455
137.0,1,0.06385696040868455
78.0,1,0.06385696040868455
80.0,1,0.06385696040868455
84.0,1,0.06385696040868455
101.0,1,0.06385696040868455
301.0,1,0.06385696040868455
95.0,1,0.06385696040868455
117.0,1,0.06385696040868455
105.0,1,0.06385696040868455
107.0,1,0.06385696040868455
108.0,1,0.06385696040868455
111.0,1,0.06385696040868455
221.0,1,0.06385696040868455
224.0,1,0.06385696040868455
112.0,1,0.06385696040868455
218.0,1,0.06385696040868455
144.0,1,0.06385696040868455
7.0,1,0.06385696040868455
6.0,1,0.06385696040868455
36.0,1,0.06385696040868455
677.0,1,0.06385696040868455
51.0,1,0.06385696040868455
179.0,1,0.06385696040868455
141.0,1,0.06385696040868455
146.0,1,0.06385696040868455
215.0,1,0.06385696040868455
165.0,1,0.06385696040868455
167.0,1,0.06385696040868455
172.0,1,0.06385696040868455
185.0,1,0.06385696040868455
133.0,1,0.06385696040868455
194.0,1,0.06385696040868455
214.0,1,0.06385696040868455
4.0,1,0.06385696040868455
