rent amount,count,percent
15000.0,52,3.3205619412515963
3500.0,45,2.8735632183908044
8000.0,43,2.7458492975734354
6000.0,41,2.6181353767560664
4500.0,37,2.362707535121328
4000.0,36,2.2988505747126435
5000.0,35,2.234993614303959
10000.0,34,2.1711366538952745
2000.0,32,2.0434227330779056
1100.0,32,2.0434227330779056
12000.0,31,1.9795657726692208
1200.0,30,1.9157088122605364
7000.0,28,1.7879948914431674
3000.0,26,1.6602809706257982
1300.0,26,1.6602809706257982
5500.0,25,1.5964240102171137
2500.0,25,1.5964240102171137
1800.0,24,1.5325670498084292
9000.0,23,1.4687100893997447
1500.0,21,1.3409961685823755
3200.0,19,1.2132822477650065
2200.0,18,1.1494252873563218
1600.0,17,1.0855683269476373
6500.0,17,1.0855683269476373
8500.0,16,1.0217113665389528
2800.0,15,0.9578544061302682
3300.0,15,0.9578544061302682
1700.0,15,0.9578544061302682
13000.0,15,0.9578544061302682
2700.0,14,0.8939974457215837
3800.0,14,0.8939974457215837
7500.0,13,0.8301404853128991
1650.0,13,0.8301404853128991
900.0,13,0.8301404853128991
4200.0,12,0.7662835249042146
2100.0,11,0.70242656449553
14000.0,11,0.70242656449553
2600.0,11,0.70242656449553
4800.0,11,0.70242656449553
2400.0,10,0.6385696040868455
11000.0,10,0.6385696040868455
3600.0,10,0.6385696040868455
1000.0,10,0.6385696040868455
1400.0,9,0.5747126436781609
1450.0,9,0.5747126436781609
3400.0,9,0.5747126436781609
1750.0,9,0.5747126436781609
3700.0,9,0.5747126436781609
780.0,9,0.5747126436781609
3900.0,8,0.5108556832694764
7200.0,8,0.5108556832694764
6800.0,8,0.5108556832694764
850.0,8,0.5108556832694764
4300.0,8,0.5108556832694764
4100.0,7,0.44699872286079184
1900.0,7,0.44699872286079184
4600.0,7,0.44699872286079184
4700.0,7,0.44699872286079184
2300.0,6,0.3831417624521073
9800.0,6,0.3831417624521073
9500.0,6,0.3831417624521073
1150.0,5,0.31928480204342274
1250.0,5,0.31928480204342274
6400.0,5,0.31928480204342274
1850.0,5,0.31928480204342274
2750.0,5,0.31928480204342274
2900.0,5,0.31928480204342274
1350.0,5,0.31928480204342274
12500.0,5,0.31928480204342274
10200.0,4,0.2554278416347382
2250.0,4,0.2554278416347382
4900.0,4,0.2554278416347382
1720.0,4,0.2554278416347382
700.0,4,0.2554278416347382
1740.0,4,0.2554278416347382
8200.0,4,0.2554278416347382
3100.0,4,0.2554278416347382
880.0,4,0.2554278416347382
6200.0,4,0.2554278416347382
5200.0,4,0.2554278416347382
2550.0,4,0.2554278416347382
1550.0,4,0.2554278416347382
12750.0,4,0.2554278416347382
5400.0,4,0.2554278416347382
976.0,3,0.19157088122605365
2650.0,3,0.19157088122605365
8600.0,3,0.19157088122605365
3250.0,3,0.19157088122605365
1060.0,3,0.19157088122605365
7600.0,3,0.19157088122605365
20000.0,3,0.19157088122605365
3950.0,3,0.19157088122605365
970.0,3,0.19157088122605365
2450.0,3,0.19157088122605365
11500.0,3,0.19157088122605365
4400.0,3,0.19157088122605365
800.0,3,0.19157088122605365
5800.0,3,0.19157088122605365
5600.0,3,0.19157088122605365
4250.0,3,0.19157088122605365
750.0,3,0.19157088122605365
7650.0,2,0.1277139208173691
980.0,2,0.1277139208173691
7900.0,2,0.1277139208173691
1080.0,2,0.1277139208173691
9300.0,2,0.1277139208173691
9600.0,2,0.1277139208173691
9900.0,2,0.1277139208173691
9810.0,2,0.1277139208173691
8330.0,2,0.1277139208173691
10120.0,2,0.1277139208173691
10400.0,2,0.1277139208173691
7300.0,2,0.1277139208173691
8300.0,2,0.1277139208173691
8700.0,2,0.1277139208173691
8900.0,2,0.1277139208173691
10900.0,2,0.1277139208173691
10500.0,2,0.1277139208173691
5950.0,2,0.1277139208173691
820.0,2,0.1277139208173691
870.0,2,0.1277139208173691
5100.0,2,0.1277139208173691
5700.0,2,0.1277139208173691
1220.0,2,0.1277139208173691
790.0,2,0.1277139208173691
1210.0,2,0.1277139208173691
5900.0,2,0.1277139208173691
13050.0,2,0.1277139208173691
7225.0,2,0.1277139208173691
950.0,2,0.1277139208173691
1120.0,2,0.1277139208173691
2950.0,2,0.1277139208173691
2050.0,2,0.1277139208173691
1990.0,2,0.1277139208173691
1140.0,2,0.1277139208173691
2060.0,2,0.1277139208173691
3270.0,2,0.1277139208173691
3150.0,2,0.1277139208173691
2990.0,2,0.1277139208173691
1660.0,2,0.1277139208173691
1390.0,2,0.1277139208173691
4450.0,2,0.1277139208173691
2175.0,2,0.1277139208173691
1630.0,2,0.1277139208173691
4675.0,2,0.1277139208173691
2460.0,2,0.1277139208173691
2580.0,2,0.1277139208173691
2150.0,2,0.1277139208173691
6900.0,2,0.1277139208173691
1180.0,2,0.1277139208173691
4850.0,2,0.1277139208173691
650.0,2,0.1277139208173691
1030.0,2,0.1277139208173691
3680.0,2,0.1277139208173691
4320.0,2,0.1277139208173691
1950.0,2,0.1277139208173691
4350.0,2,0.1277139208173691
3825.0,2,0.1277139208173691
730.0,1,0.06385696040868455
2040.0,1,0.06385696040868455
830.0,1,0.06385696040868455
2188.0,1,0.06385696040868455
2001.0,1,0.06385696040868455
2196.0,1,0.06385696040868455
1980.0,1,0.06385696040868455
1920.0,1,0.06385696040868455
2210.0,1,0.06385696040868455
1955.0,1,0.06385696040868455
960.0,1,0.06385696040868455
972.0,1,0.06385696040868455
1826.0,1,0.06385696040868455
1830.0,1,0.06385696040868455
990.0,1,0.06385696040868455
761.0,1,0.06385696040868455
765.0,1,0.06385696040868455
2230.0,1,0.06385696040868455
