total,count,percent
2555.0,10,0.6385696040868455
809.0,9,0.5747126436781609
1117.0,7,0.44699872286079184
1675.0,7,0.44699872286079184
1144.0,7,0.44699872286079184
3046.0,6,0.3831417624521073
1219.0,6,0.3831417624521073
2538.0,5,0.31928480204342274
2234.0,5,0.31928480204342274
15230.0,5,0.31928480204342274
1264.0,5,0.31928480204342274
3897.0,5,0.31928480204342274
2031.0,5,0.31928480204342274
1257.0,5,0.31928480204342274
1792.0,4,0.2554278416347382
10150.0,4,0.2554278416347382
4264.0,4,0.2554278416347382
8121.0,4,0.2554278416347382
1742.0,4,0.2554278416347382
1523.0,4,0.2554278416347382
4568.0,4,0.2554278416347382
10370.0,3,0.19157088122605365
13000.0,3,0.19157088122605365
1759.0,3,0.19157088122605365
5326.0,3,0.19157088122605365
4061.0,3,0.19157088122605365
4085.0,3,0.19157088122605365
1851.0,3,0.19157088122605365
1472.0,3,0.19157088122605365
3041.0,3,0.19157088122605365
10670.0,3,0.19157088122605365
3845.0,3,0.19157088122605365
1828.0,3,0.19157088122605365
6091.0,3,0.19157088122605365
2437.0,3,0.19157088122605365
3803.0,3,0.19157088122605365
11150.0,3,0.19157088122605365
4514.0,3,0.19157088122605365
991.0,3,0.19157088122605365
16350.0,3,0.19157088122605365
1288.0,3,0.19157088122605365
1570.0,3,0.19157088122605365
4860.0,3,0.19157088122605365
1142.0,2,0.1277139208173691
4422.0,2,0.1277139208173691
1167.0,2,0.1277139208173691
7523.0,2,0.1277139208173691
6183.0,2,0.1277139208173691
17270.0,2,0.1277139208173691
930.0,2,0.1277139208173691
16070.0,2,0.1277139208173691
17030.0,2,0.1277139208173691
965.0,2,0.1277139208173691
2433.0,2,0.1277139208173691
16890.0,2,0.1277139208173691
4470.0,2,0.1277139208173691
935.0,2,0.1277139208173691
15890.0,2,0.1277139208173691
2651.0,2,0.1277139208173691
2487.0,2,0.1277139208173691
2757.0,2,0.1277139208173691
914.0,2,0.1277139208173691
14590.0,2,0.1277139208173691
2422.0,2,0.1277139208173691
9878.0,2,0.1277139208173691
5076.0,2,0.1277139208173691
1530.0,2,0.1277139208173691
1786.0,2,0.1277139208173691
3813.0,2,0.1277139208173691
14020.0,2,0.1277139208173691
6258.0,2,0.1277139208173691
15000.0,2,0.1277139208173691
4431.0,2,0.1277139208173691
2732.0,2,0.1277139208173691
2741.0,2,0.1277139208173691
17290.0,2,0.1277139208173691
922.0,2,0.1277139208173691
2345.0,2,0.1277139208173691
932.0,2,0.1277139208173691
2797.0,2,0.1277139208173691
1050.0,2,0.1277139208173691
7273.0,2,0.1277139208173691
1588.0,2,0.1277139208173691
1216.0,2,0.1277139208173691
13670.0,2,0.1277139208173691
884.0,2,0.1277139208173691
1239.0,2,0.1277139208173691
1197.0,2,0.1277139208173691
7556.0,2,0.1277139208173691
6583.0,2,0.1277139208173691
2490.0,2,0.1277139208173691
4516.0,2,0.1277139208173691
2619.0,2,0.1277139208173691
2640.0,2,0.1277139208173691
13850.0,2,0.1277139208173691
2496.0,2,0.1277139208173691
12850.0,2,0.1277139208173691
2284.0,2,0.1277139208173691
6575.0,2,0.1277139208173691
1253.0,2,0.1277139208173691
6558.0,2,0.1277139208173691
1056.0,2,0.1277139208173691
17100.0,2,0.1277139208173691
7315.0,2,0.1277139208173691
15380.0,2,0.1277139208173691
911.0,2,0.1277139208173691
16460.0,2,0.1277139208173691
2299.0,2,0.1277139208173691
7613.0,2,0.1277139208173691
2257.0,2,0.1277139208173691
2242.0,2,0.1277139208173691
2597.0,2,0.1277139208173691
1243.0,2,0.1277139208173691
1244.0,2,0.1277139208173691
6766.0,2,0.1277139208173691
1998.0,2,0.1277139208173691
1016.0,2,0.1277139208173691
3033.0,2,0.1277139208173691
1420.0,2,0.1277139208173691
1375.0,2,0.1277139208173691
1370.0,2,0.1277139208173691
4757.0,2,0.1277139208173691
1422.0,2,0.1277139208173691
7940.0,2,0.1277139208173691
1356.0,2,0.1277139208173691
2176.0,2,0.1277139208173691
11110.0,2,0.1277139208173691
1429.0,2,0.1277139208173691
4693.0,2,0.1277139208173691
12150.0,2,0.1277139208173691
12180.0,2,0.1277139208173691
4818.0,2,0.1277139208173691
1320.0,2,0.1277139208173691
10650.0,2,0.1277139208173691
2165.0,2,0.1277139208173691
1412.0,2,0.1277139208173691
3299.0,2,0.1277139208173691
2872.0,2,0.1277139208173691
1579.0,2,0.1277139208173691
1387.0,2,0.1277139208173691
11000.0,2,0.1277139208173691
1317.0,2,0.1277139208173691
2197.0,2,0.1277139208173691
10900.0,2,0.1277139208173691
8072.0,2,0.1277139208173691
1438.0,2,0.1277139208173691
12520.0,2,0.1277139208173691
5660.0,2,0.1277139208173691
2215.0,2,0.1277139208173691
10740.0,2,0.1277139208173691
11010.0,2,0.1277139208173691
12330.0,2,0.1277139208173691
2087.0,2,0.1277139208173691
8621.0,2,0.1277139208173691
10820.0,2,0.1277139208173691
1650.0,2,0.1277139208173691
3076.0,2,0.1277139208173691
10640.0,2,0.1277139208173691
3057.0,2,0.1277139208173691
2081.0,2,0.1277139208173691
1477.0,2,0.1277139208173691
3489.0,2,0.1277139208173691
1506.0,2,0.1277139208173691
1507.0,2,0.1277139208173691
1522.0,2,0.1277139208173691
10330.0,2,0.1277139208173691
5583.0,2,0.1277139208173691
5576.0,2,0.1277139208173691
3452.0,2,0.1277139208173691
10140.0,2,0.1277139208173691
9538.0,2,0.1277139208173691
1574.0,2,0.1277139208173691
1953.0,2,0.1277139208173691
1532.0,2,0.1277139208173691
1777.0,2,0.1277139208173691
