rent amount,count,percent
15000.0,50,3.673769287288758
3500.0,38,2.792064658339456
6000.0,36,2.645113886847906
4500.0,36,2.645113886847906
8000.0,34,2.4981631153563555
10000.0,33,2.4246877296105804
5000.0,32,2.3512123438648054
12000.0,30,2.204261572373255
7000.0,28,2.0573108008817047
1200.0,28,2.0573108008817047
4000.0,27,1.9838354151359294
1100.0,27,1.9838354151359294
2000.0,24,1.763409257898604
2500.0,23,1.6899338721528288
1800.0,22,1.6164584864070537
3000.0,22,1.6164584864070537
1300.0,22,1.6164584864070537
9000.0,22,1.6164584864070537
1500.0,19,1.396032329169728
5500.0,18,1.322556943423953
1600.0,17,1.2490815576781777
6500.0,16,1.1756061719324027
8500.0,14,1.0286554004408524
900.0,13,0.9551800146950772
2200.0,13,0.9551800146950772
2700.0,13,0.9551800146950772
2800.0,13,0.9551800146950772
3800.0,12,0.881704628949302
1700.0,12,0.881704628949302
3300.0,12,0.881704628949302
13000.0,12,0.881704628949302
1650.0,11,0.8082292432035268
2600.0,11,0.8082292432035268
3600.0,10,0.7347538574577517
3200.0,10,0.7347538574577517
2100.0,10,0.7347538574577517
14000.0,10,0.7347538574577517
11000.0,10,0.7347538574577517
4800.0,10,0.7347538574577517
7500.0,10,0.7347538574577517
4200.0,9,0.6612784717119765
780.0,9,0.6612784717119765
6800.0,8,0.5878030859662013
3400.0,8,0.5878030859662013
3700.0,8,0.5878030859662013
7200.0,8,0.5878030859662013
850.0,8,0.5878030859662013
1000.0,8,0.5878030859662013
1450.0,7,0.5143277002204262
4600.0,7,0.5143277002204262
3900.0,7,0.5143277002204262
2400.0,7,0.5143277002204262
4700.0,6,0.440852314474651
1750.0,6,0.440852314474651
4300.0,6,0.440852314474651
9800.0,6,0.440852314474651
1900.0,5,0.36737692872887584
2900.0,5,0.36737692872887584
6400.0,5,0.36737692872887584
1850.0,5,0.36737692872887584
1350.0,5,0.36737692872887584
2750.0,5,0.36737692872887584
1400.0,5,0.36737692872887584
4100.0,5,0.36737692872887584
12500.0,5,0.36737692872887584
4900.0,4,0.29390154298310067
10200.0,4,0.29390154298310067
2300.0,4,0.29390154298310067
12750.0,4,0.29390154298310067
1720.0,4,0.29390154298310067
1250.0,4,0.29390154298310067
1150.0,4,0.29390154298310067
1740.0,4,0.29390154298310067
9500.0,4,0.29390154298310067
8200.0,4,0.29390154298310067
1550.0,4,0.29390154298310067
5600.0,3,0.2204261572373255
2250.0,3,0.2204261572373255
970.0,3,0.2204261572373255
8600.0,3,0.2204261572373255
20000.0,3,0.2204261572373255
4250.0,3,0.2204261572373255
976.0,3,0.2204261572373255
4400.0,3,0.2204261572373255
3250.0,3,0.2204261572373255
700.0,3,0.2204261572373255
5800.0,3,0.2204261572373255
3100.0,3,0.2204261572373255
5400.0,3,0.2204261572373255
11500.0,3,0.2204261572373255
2450.0,3,0.2204261572373255
5200.0,3,0.2204261572373255
2150.0,2,0.14695077149155034
2460.0,2,0.14695077149155034
1210.0,2,0.14695077149155034
1080.0,2,0.14695077149155034
750.0,2,0.14695077149155034
820.0,2,0.14695077149155034
2550.0,2,0.14695077149155034
13050.0,2,0.14695077149155034
5950.0,2,0.14695077149155034
870.0,2,0.14695077149155034
2060.0,2,0.14695077149155034
6200.0,2,0.14695077149155034
1220.0,2,0.14695077149155034
8300.0,2,0.14695077149155034
7900.0,2,0.14695077149155034
10900.0,2,0.14695077149155034
2175.0,2,0.14695077149155034
7650.0,2,0.14695077149155034
2950.0,2,0.14695077149155034
2990.0,2,0.14695077149155034
1180.0,2,0.14695077149155034
2050.0,2,0.14695077149155034
7300.0,2,0.14695077149155034
880.0,2,0.14695077149155034
2580.0,2,0.14695077149155034
10500.0,2,0.14695077149155034
650.0,2,0.14695077149155034
1630.0,2,0.14695077149155034
1950.0,2,0.14695077149155034
4320.0,2,0.14695077149155034
3680.0,2,0.14695077149155034
4675.0,2,0.14695077149155034
10120.0,2,0.14695077149155034
3950.0,2,0.14695077149155034
4450.0,2,0.14695077149155034
3150.0,2,0.14695077149155034
4350.0,2,0.14695077149155034
1990.0,2,0.14695077149155034
5700.0,2,0.14695077149155034
1060.0,2,0.14695077149155034
8900.0,2,0.14695077149155034
1030.0,2,0.14695077149155034
980.0,2,0.14695077149155034
9300.0,2,0.14695077149155034
9600.0,2,0.14695077149155034
2650.0,2,0.14695077149155034
9900.0,2,0.14695077149155034
8330.0,2,0.14695077149155034
1170.0,1,0.07347538574577517
2220.0,1,0.07347538574577517
1920.0,1,0.07347538574577517
1420.0,1,0.07347538574577517
1710.0,1,0.07347538574577517
972.0,1,0.07347538574577517
1090.0,1,0.07347538574577517
1140.0,1,0.07347538574577517
1115.0,1,0.07347538574577517
1094.0,1,0.07347538574577517
1093.0,1,0.07347538574577517
1086.0,1,0.07347538574577517
2001.0,1,0.07347538574577517
2188.0,1,0.07347538574577517
3536.0,1,0.07347538574577517
2230.0,1,0.07347538574577517
2125.0,1,0.07347538574577517
1955.0,1,0.07347538574577517
1870.0,1,0.07347538574577517
2255.0,1,0.07347538574577517
2260.0,1,0.07347538574577517
1830.0,1,0.07347538574577517
1765.0,1,0.07347538574577517
1980.0,1,0.07347538574577517
1826.0,1,0.07347538574577517
2465.0,1,0.07347538574577517
2040.0,1,0.07347538574577517
2430.0,1,0.07347538574577517
2196.0,1,0.07347538574577517
1074.0,1,0.07347538574577517
3280.0,1,0.07347538574577517
1050.0,1,0.07347538574577517
3147.0,1,0.07347538574577517
5100.0,1,0.07347538574577517
2850.0,1,0.07347538574577517
3450.0,1,0.07347538574577517
