coef,row_name,col_name
0.9858900560068365,fire insurance,rent amount
0.7468760585596274,bathroom,rooms
0.7417418905140496,total,property tax
0.6858785743964724,parking spaces,bathroom
0.6648933384664638,fire insurance,bathroom
0.655380792837559,rent amount,bathroom
0.6249717753675749,parking spaces,rooms
0.6014018492388548,fire insurance,parking spaces
0.5765094973381873,rent amount,parking spaces
0.5559662915757455,fire insurance,rooms
0.5475084883808066,total,hoa
0.5428911847891926,total,rent amount
0.5335339129149816,rent amount,rooms
0.5243819408443922,total,fire insurance
0.38685385391024474,total,bathroom
0.31397501623804547,total,parking spaces
0.3101658632862089,total,rooms
0.2754846865991291,bathroom,area
0.26695721643539255,rooms,area
0.25249231286599444,parking spaces,area
0.24743505733651475,fire insurance,area
0.23606787277348984,rent amount,area
0.2102310465138362,rent amount,city
0.20353282310495557,animal,rooms
0.19483054089878116,rent amount,hoa
0.19236790147337876,fire insurance,city
0.18800828692999436,rent amount,floor
0.18057913802758926,fire insurance,floor
0.1672831473382402,fire insurance,hoa
0.16603245283078816,floor,parking spaces
0.16437386217473726,rent amount,furniture
0.16433216522014515,animal,parking spaces
0.15489532149993052,hoa,bathroom
0.1539792157057639,animal,bathroom
0.14216796174775856,floor,bathroom
0.14106409440702508,total,area
0.13422119573565808,fire insurance,furniture
0.1296110952576001,hoa,rooms
0.12179873779978516,total,city
0.11032520794934252,floor,city
0.10719375636837715,furniture,city
0.10713127486204861,fire insurance,animal
0.10280312213106632,hoa,parking spaces
0.09701030567804836,total,furniture
0.0965091567710978,rent amount,animal
0.09594534621175047,total,floor
0.08914923434556117,bathroom,city
0.07584527612104994,furniture,floor
0.06499225568804688,animal,area
0.06484899604715048,property tax,bathroom
0.05838754938191431,fire insurance,property tax
0.05822253199900538,property tax,rent amount
0.052231105485096276,floor,rooms
0.044604177784832326,hoa,area
0.04446493308019035,property tax,rooms
0.04438545298384975,hoa,city
0.042753864642370375,hoa,furniture
0.042748184848746144,property tax,parking spaces
0.03533055498007439,rooms,city
0.03325197568428452,total,animal
0.032677118293860684,property tax,area
0.03102693657664311,parking spaces,city
0.030010812562413794,floor,area
0.027025983905383775,hoa,floor
0.02220630801571468,property tax,floor
0.021291042229888393,property tax,city
0.019996140785280222,hoa,animal
0.017084791633893308,furniture,bathroom
0.01685223967065884,property tax,hoa
0.012678887772840349,property tax,furniture
0.007709547991998445,area,city
0.0033986527886870153,furniture,parking spaces
-0.0062679149966251985,animal,floor
-0.021375431787617586,furniture,area
-0.02280036893698362,property tax,animal
-0.033164561060346785,animal,city
-0.074608962816644,furniture,animal
-0.08737948259465753,furniture,rooms
