fire insurance,count,percent
23.0,163,2.6809210526315788
26.0,161,2.648026315789474
16.0,149,2.450657894736842
39.0,142,2.335526315789474
20.0,136,2.236842105263158
32.0,132,2.1710526315789473
13.0,124,2.039473684210526
28.0,121,1.9901315789473684
17.0,120,1.9736842105263157
14.0,111,1.825657894736842
25.0,107,1.7598684210526316
22.0,106,1.743421052631579
45.0,105,1.7269736842105263
58.0,104,1.7105263157894737
191.0,102,1.6776315789473684
21.0,101,1.6611842105263157
51.0,97,1.5953947368421053
27.0,92,1.513157894736842
70.0,92,1.513157894736842
31.0,87,1.430921052631579
30.0,87,1.430921052631579
64.0,87,1.430921052631579
19.0,85,1.3980263157894737
18.0,80,1.3157894736842106
36.0,78,1.2828947368421053
77.0,78,1.2828947368421053
49.0,75,1.2335526315789473
83.0,74,1.2171052631578947
11.0,73,1.200657894736842
42.0,72,1.1842105263157894
102.0,71,1.167763157894737
89.0,69,1.1348684210526316
41.0,67,1.1019736842105263
153.0,67,1.1019736842105263
127.0,65,1.069078947368421
61.0,64,1.0526315789473684
121.0,61,1.0032894736842106
12.0,60,0.9868421052631579
33.0,59,0.9703947368421053
9.0,59,0.9703947368421053
53.0,58,0.9539473684210527
7.0,57,0.9375
37.0,57,0.9375
24.0,56,0.9210526315789473
46.0,56,0.9210526315789473
115.0,54,0.8881578947368421
38.0,53,0.8717105263157895
68.0,53,0.8717105263157895
226.0,52,0.8552631578947368
35.0,52,0.8552631578947368
15.0,51,0.8388157894736842
10.0,49,0.805921052631579
40.0,48,0.7894736842105263
34.0,46,0.756578947368421
50.0,45,0.7401315789473685
91.0,44,0.7236842105263158
29.0,44,0.7236842105263158
44.0,44,0.7236842105263158
76.0,42,0.6907894736842105
8.0,42,0.6907894736842105
54.0,40,0.6578947368421053
47.0,36,0.5921052631578947
151.0,36,0.5921052631578947
108.0,34,0.5592105263157895
140.0,32,0.5263157894736842
56.0,32,0.5263157894736842
106.0,31,0.5098684210526315
55.0,30,0.4934210526315789
181.0,30,0.4934210526315789
73.0,27,0.4440789473684211
43.0,26,0.4276315789473684
59.0,25,0.41118421052631576
65.0,25,0.41118421052631576
6.0,24,0.39473684210526316
74.0,24,0.39473684210526316
96.0,23,0.3782894736842105
136.0,23,0.3782894736842105
165.0,22,0.3618421052631579
63.0,22,0.3618421052631579
178.0,21,0.34539473684210525
71.0,21,0.34539473684210525
52.0,20,0.32894736842105265
66.0,20,0.32894736842105265
113.0,20,0.32894736842105265
98.0,19,0.3125
128.0,19,0.3125
87.0,17,0.27960526315789475
79.0,16,0.2631578947368421
99.0,16,0.2631578947368421
48.0,16,0.2631578947368421
82.0,16,0.2631578947368421
88.0,15,0.24671052631578946
97.0,15,0.24671052631578946
196.0,15,0.24671052631578946
125.0,15,0.24671052631578946
60.0,14,0.23026315789473684
5.0,14,0.23026315789473684
109.0,14,0.23026315789473684
85.0,14,0.23026315789473684
75.0,13,0.2138157894736842
159.0,13,0.2138157894736842
166.0,12,0.19736842105263158
92.0,12,0.19736842105263158
101.0,12,0.19736842105263158
84.0,12,0.19736842105263158
211.0,11,0.18092105263157895
146.0,11,0.18092105263157895
69.0,11,0.18092105263157895
62.0,11,0.18092105263157895
130.0,10,0.16447368421052633
134.0,10,0.16447368421052633
162.0,10,0.16447368421052633
103.0,9,0.14802631578947367
94.0,9,0.14802631578947367
126.0,9,0.14802631578947367
80.0,8,0.13157894736842105
172.0,8,0.13157894736842105
148.0,8,0.13157894736842105
90.0,7,0.11513157894736842
117.0,7,0.11513157894736842
86.0,7,0.11513157894736842
111.0,7,0.11513157894736842
67.0,6,0.09868421052631579
137.0,6,0.09868421052631579
57.0,6,0.09868421052631579
107.0,6,0.09868421052631579
143.0,6,0.09868421052631579
116.0,5,0.08223684210526316
112.0,5,0.08223684210526316
114.0,5,0.08223684210526316
139.0,5,0.08223684210526316
254.0,5,0.08223684210526316
173.0,5,0.08223684210526316
188.0,5,0.08223684210526316
124.0,5,0.08223684210526316
154.0,4,0.06578947368421052
72.0,4,0.06578947368421052
163.0,4,0.06578947368421052
149.0,4,0.06578947368421052
164.0,4,0.06578947368421052
141.0,4,0.06578947368421052
78.0,4,0.06578947368421052
110.0,4,0.06578947368421052
93.0,4,0.06578947368421052
131.0,4,0.06578947368421052
192.0,4,0.06578947368421052
4.0,3,0.049342105263157895
3.0,3,0.049342105263157895
197.0,3,0.049342105263157895
184.0,3,0.049342105263157895
95.0,3,0.049342105263157895
119.0,3,0.049342105263157895
122.0,3,0.049342105263157895
177.0,3,0.049342105263157895
138.0,2,0.03289473684210526
160.0,2,0.03289473684210526
100.0,2,0.03289473684210526
104.0,2,0.03289473684210526
123.0,2,0.03289473684210526
129.0,2,0.03289473684210526
135.0,2,0.03289473684210526
155.0,2,0.03289473684210526
145.0,2,0.03289473684210526
157.0,2,0.03289473684210526
158.0,2,0.03289473684210526
175.0,2,0.03289473684210526
210.0,2,0.03289473684210526
144.0,2,0.03289473684210526
189.0,1,0.01644736842105263
105.0,1,0.01644736842105263
118.0,1,0.01644736842105263
132.0,1,0.01644736842105263
133.0,1,0.01644736842105263
142.0,1,0.01644736842105263
161.0,1,0.01644736842105263
167.0,1,0.01644736842105263
179.0,1,0.01644736842105263
185.0,1,0.01644736842105263
305.0,1,0.01644736842105263
81.0,1,0.01644736842105263
301.0,1,0.01644736842105263
248.0,1,0.01644736842105263
214.0,1,0.01644736842105263
215.0,1,0.01644736842105263
229.0,1,0.01644736842105263
224.0,1,0.01644736842105263
221.0,1,0.01644736842105263
218.0,1,0.01644736842105263
194.0,1,0.01644736842105263
677.0,1,0.01644736842105263
