area,count,percent
50.0,183,3.0098684210526314
60.0,157,2.5822368421052633
70.0,155,2.549342105263158
100.0,151,2.4835526315789473
200.0,135,2.2203947368421053
80.0,126,2.0723684210526314
40.0,111,1.825657894736842
90.0,107,1.7598684210526316
55.0,101,1.6611842105263157
300.0,99,1.6282894736842106
120.0,98,1.611842105263158
45.0,98,1.611842105263158
35.0,95,1.5625
250.0,84,1.381578947368421
180.0,81,1.332236842105263
65.0,76,1.25
150.0,75,1.2335526315789473
110.0,71,1.167763157894737
130.0,71,1.167763157894737
30.0,70,1.1513157894736843
20.0,68,1.118421052631579
140.0,65,1.069078947368421
160.0,60,0.9868421052631579
400.0,57,0.9375
220.0,55,0.9046052631578947
75.0,53,0.8717105263157895
240.0,53,0.8717105263157895
170.0,53,0.8717105263157895
42.0,52,0.8552631578947368
48.0,49,0.805921052631579
58.0,48,0.7894736842105263
68.0,47,0.7730263157894737
62.0,47,0.7730263157894737
280.0,43,0.7072368421052632
230.0,41,0.6743421052631579
350.0,41,0.6743421052631579
190.0,40,0.6578947368421053
54.0,40,0.6578947368421053
25.0,39,0.6414473684210527
47.0,37,0.6085526315789473
72.0,37,0.6085526315789473
52.0,37,0.6085526315789473
49.0,37,0.6085526315789473
85.0,36,0.5921052631578947
260.0,35,0.5756578947368421
500.0,34,0.5592105263157895
57.0,34,0.5592105263157895
53.0,33,0.5427631578947368
210.0,33,0.5427631578947368
64.0,32,0.5263157894736842
380.0,32,0.5263157894736842
320.0,32,0.5263157894736842
38.0,31,0.5098684210526315
46.0,31,0.5098684210526315
270.0,31,0.5098684210526315
33.0,30,0.4934210526315789
84.0,29,0.4769736842105263
56.0,27,0.4440789473684211
76.0,27,0.4440789473684211
78.0,27,0.4440789473684211
92.0,27,0.4440789473684211
67.0,26,0.4276315789473684
73.0,25,0.41118421052631576
44.0,25,0.41118421052631576
51.0,25,0.41118421052631576
96.0,24,0.39473684210526316
37.0,24,0.39473684210526316
93.0,24,0.39473684210526316
36.0,24,0.39473684210526316
22.0,24,0.39473684210526316
98.0,24,0.39473684210526316
74.0,24,0.39473684210526316
135.0,23,0.3782894736842105
87.0,23,0.3782894736842105
136.0,22,0.3618421052631579
145.0,21,0.34539473684210525
360.0,21,0.34539473684210525
23.0,21,0.34539473684210525
600.0,21,0.34539473684210525
113.0,21,0.34539473684210525
108.0,20,0.32894736842105265
63.0,20,0.32894736842105265
82.0,20,0.32894736842105265
450.0,20,0.32894736842105265
125.0,19,0.3125
105.0,19,0.3125
32.0,19,0.3125
126.0,19,0.3125
77.0,18,0.29605263157894735
340.0,18,0.29605263157894735
34.0,18,0.29605263157894735
86.0,18,0.29605263157894735
330.0,18,0.29605263157894735
59.0,18,0.29605263157894735
79.0,17,0.27960526315789475
83.0,17,0.27960526315789475
39.0,17,0.27960526315789475
104.0,17,0.27960526315789475
61.0,17,0.27960526315789475
97.0,17,0.27960526315789475
127.0,16,0.2631578947368421
102.0,16,0.2631578947368421
420.0,16,0.2631578947368421
94.0,16,0.2631578947368421
69.0,16,0.2631578947368421
178.0,16,0.2631578947368421
95.0,15,0.24671052631578946
138.0,15,0.24671052631578946
66.0,15,0.24671052631578946
128.0,15,0.24671052631578946
88.0,15,0.24671052631578946
89.0,15,0.24671052631578946
43.0,15,0.24671052631578946
115.0,15,0.24671052631578946
114.0,14,0.23026315789473684
156.0,14,0.23026315789473684
165.0,14,0.23026315789473684
71.0,13,0.2138157894736842
103.0,13,0.2138157894736842
28.0,13,0.2138157894736842
16.0,12,0.19736842105263158
41.0,12,0.19736842105263158
215.0,12,0.19736842105263158
155.0,12,0.19736842105263158
290.0,12,0.19736842105263158
137.0,11,0.18092105263157895
310.0,11,0.18092105263157895
106.0,11,0.18092105263157895
147.0,11,0.18092105263157895
109.0,11,0.18092105263157895
132.0,11,0.18092105263157895
198.0,11,0.18092105263157895
164.0,10,0.16447368421052633
31.0,10,0.16447368421052633
101.0,10,0.16447368421052633
146.0,10,0.16447368421052633
112.0,10,0.16447368421052633
26.0,10,0.16447368421052633
440.0,10,0.16447368421052633
800.0,10,0.16447368421052633
700.0,10,0.16447368421052633
235.0,9,0.14802631578947367
195.0,9,0.14802631578947367
216.0,9,0.14802631578947367
212.0,9,0.14802631578947367
197.0,9,0.14802631578947367
117.0,9,0.14802631578947367
185.0,9,0.14802631578947367
208.0,9,0.14802631578947367
118.0,9,0.14802631578947367
162.0,9,0.14802631578947367
245.0,9,0.14802631578947367
225.0,9,0.14802631578947367
129.0,9,0.14802631578947367
142.0,9,0.14802631578947367
167.0,9,0.14802631578947367
123.0,8,0.13157894736842105
480.0,8,0.13157894736842105
27.0,8,0.13157894736842105
119.0,8,0.13157894736842105
141.0,8,0.13157894736842105
144.0,8,0.13157894736842105
157.0,8,0.13157894736842105
192.0,7,0.11513157894736842
159.0,7,0.11513157894736842
158.0,7,0.11513157894736842
175.0,7,0.11513157894736842
550.0,7,0.11513157894736842
189.0,7,0.11513157894736842
182.0,7,0.11513157894736842
151.0,7,0.11513157894736842
213.0,7,0.11513157894736842
18.0,7,0.11513157894736842
116.0,7,0.11513157894736842
205.0,7,0.11513157894736842
161.0,6,0.09868421052631579
177.0,6,0.09868421052631579
174.0,6,0.09868421052631579
172.0,6,0.09868421052631579
171.0,6,0.09868421052631579
163.0,6,0.09868421052631579
315.0,6,0.09868421052631579
255.0,6,0.09868421052631579
277.0,6,0.09868421052631579
900.0,6,0.09868421052631579
196.0,6,0.09868421052631579
122.0,6,0.09868421052631579
124.0,6,0.09868421052631579
