area,count,percent
200.0,11,5.365853658536586
110.0,9,4.390243902439025
60.0,6,2.926829268292683
380.0,6,2.926829268292683
120.0,5,2.4390243902439024
100.0,5,2.4390243902439024
350.0,4,1.951219512195122
650.0,4,1.951219512195122
170.0,4,1.951219512195122
150.0,4,1.951219512195122
50.0,4,1.951219512195122
70.0,4,1.951219512195122
300.0,4,1.951219512195122
130.0,4,1.951219512195122
250.0,3,1.4634146341463414
500.0,3,1.4634146341463414
55.0,3,1.4634146341463414
160.0,3,1.4634146341463414
180.0,3,1.4634146341463414
600.0,3,1.4634146341463414
280.0,3,1.4634146341463414
270.0,3,1.4634146341463414
420.0,3,1.4634146341463414
210.0,2,0.975609756097561
400.0,2,0.975609756097561
440.0,2,0.975609756097561
53.0,2,0.975609756097561
348.0,2,0.975609756097561
402.0,2,0.975609756097561
63.0,2,0.975609756097561
80.0,2,0.975609756097561
308.0,2,0.975609756097561
550.0,2,0.975609756097561
260.0,2,0.975609756097561
188.0,2,0.975609756097561
62.0,2,0.975609756097561
999.0,1,0.4878048780487805
48.0,1,0.4878048780487805
47.0,1,0.4878048780487805
45.0,1,0.4878048780487805
43.0,1,0.4878048780487805
35.0,1,0.4878048780487805
30.0,1,0.4878048780487805
28.0,1,0.4878048780487805
88.0,1,0.4878048780487805
90.0,1,0.4878048780487805
165.0,1,0.4878048780487805
144.0,1,0.4878048780487805
291.0,1,0.4878048780487805
175.0,1,0.4878048780487805
164.0,1,0.4878048780487805
155.0,1,0.4878048780487805
135.0,1,0.4878048780487805
143.0,1,0.4878048780487805
154.0,1,0.4878048780487805
147.0,1,0.4878048780487805
51.0,1,0.4878048780487805
23.0,1,0.4878048780487805
66.0,1,0.4878048780487805
67.0,1,0.4878048780487805
750.0,1,0.4878048780487805
800.0,1,0.4878048780487805
326.0,1,0.4878048780487805
296.0,1,0.4878048780487805
202.0,1,0.4878048780487805
233.0,1,0.4878048780487805
203.0,1,0.4878048780487805
205.0,1,0.4878048780487805
206.0,1,0.4878048780487805
208.0,1,0.4878048780487805
209.0,1,0.4878048780487805
900.0,1,0.4878048780487805
220.0,1,0.4878048780487805
227.0,1,0.4878048780487805
230.0,1,0.4878048780487805
240.0,1,0.4878048780487805
295.0,1,0.4878048780487805
252.0,1,0.4878048780487805
254.0,1,0.4878048780487805
258.0,1,0.4878048780487805
262.0,1,0.4878048780487805
265.0,1,0.4878048780487805
268.0,1,0.4878048780487805
277.0,1,0.4878048780487805
284.0,1,0.4878048780487805
660.0,1,0.4878048780487805
578.0,1,0.4878048780487805
570.0,1,0.4878048780487805
340.0,1,0.4878048780487805
68.0,1,0.4878048780487805
75.0,1,0.4878048780487805
194.0,1,0.4878048780487805
82.0,1,0.4878048780487805
83.0,1,0.4878048780487805
85.0,1,0.4878048780487805
77.0,1,0.4878048780487805
212.0,1,0.4878048780487805
198.0,1,0.4878048780487805
438.0,1,0.4878048780487805
330.0,1,0.4878048780487805
341.0,1,0.4878048780487805
560.0,1,0.4878048780487805
359.0,1,0.4878048780487805
375.0,1,0.4878048780487805
396.0,1,0.4878048780487805
411.0,1,0.4878048780487805
414.0,1,0.4878048780487805
430.0,1,0.4878048780487805
445.0,1,0.4878048780487805
306.0,1,0.4878048780487805
450.0,1,0.4878048780487805
462.0,1,0.4878048780487805
480.0,1,0.4878048780487805
64.0,1,0.4878048780487805
