fire insurance,count,percent
226.0,48,3.526818515797208
53.0,42,3.085966201322557
68.0,38,2.792064658339456
91.0,35,2.571638501102131
23.0,34,2.4981631153563555
14.0,34,2.4981631153563555
121.0,34,2.4981631153563555
76.0,33,2.4246877296105804
151.0,32,2.3512123438648054
25.0,31,2.2777369581190303
19.0,30,2.204261572373255
106.0,28,2.0573108008817047
181.0,28,2.0573108008817047
17.0,28,2.0573108008817047
61.0,26,1.9103600293901544
38.0,25,1.836884643644379
31.0,25,1.836884643644379
46.0,23,1.6899338721528288
34.0,22,1.6164584864070537
136.0,21,1.5429831006612784
20.0,20,1.4695077149155034
41.0,19,1.396032329169728
22.0,18,1.322556943423953
26.0,18,1.322556943423953
83.0,18,1.322556943423953
43.0,17,1.2490815576781777
12.0,17,1.2490815576781777
16.0,17,1.2490815576781777
27.0,16,1.1756061719324027
28.0,16,1.1756061719324027
58.0,16,1.1756061719324027
128.0,16,1.1756061719324027
50.0,16,1.1756061719324027
13.0,16,1.1756061719324027
15.0,15,1.1021307861866274
98.0,15,1.1021307861866274
40.0,14,1.0286554004408524
49.0,13,0.9551800146950772
37.0,13,0.9551800146950772
196.0,12,0.881704628949302
64.0,12,0.881704628949302
73.0,12,0.881704628949302
39.0,10,0.7347538574577517
55.0,10,0.7347538574577517
166.0,10,0.7347538574577517
113.0,10,0.7347538574577517
211.0,10,0.7347538574577517
24.0,10,0.7347538574577517
56.0,10,0.7347538574577517
109.0,9,0.6612784717119765
70.0,9,0.6612784717119765
59.0,9,0.6612784717119765
71.0,9,0.6612784717119765
18.0,9,0.6612784717119765
21.0,9,0.6612784717119765
52.0,8,0.5878030859662013
32.0,8,0.5878030859662013
148.0,7,0.5143277002204262
29.0,7,0.5143277002204262
44.0,6,0.440852314474651
103.0,6,0.440852314474651
30.0,6,0.440852314474651
42.0,6,0.440852314474651
11.0,6,0.440852314474651
10.0,6,0.440852314474651
65.0,6,0.440852314474651
45.0,5,0.36737692872887584
74.0,5,0.36737692872887584
62.0,5,0.36737692872887584
97.0,5,0.36737692872887584
188.0,5,0.36737692872887584
67.0,5,0.36737692872887584
82.0,4,0.29390154298310067
153.0,4,0.29390154298310067
85.0,4,0.29390154298310067
48.0,4,0.29390154298310067
143.0,4,0.29390154298310067
154.0,4,0.29390154298310067
173.0,4,0.29390154298310067
192.0,4,0.29390154298310067
115.0,4,0.29390154298310067
124.0,4,0.29390154298310067
33.0,4,0.29390154298310067
35.0,4,0.29390154298310067
90.0,3,0.2204261572373255
87.0,3,0.2204261572373255
126.0,3,0.2204261572373255
125.0,3,0.2204261572373255
134.0,3,0.2204261572373255
197.0,3,0.2204261572373255
79.0,3,0.2204261572373255
8.0,3,0.2204261572373255
130.0,3,0.2204261572373255
140.0,3,0.2204261572373255
164.0,3,0.2204261572373255
88.0,3,0.2204261572373255
66.0,3,0.2204261572373255
60.0,3,0.2204261572373255
47.0,3,0.2204261572373255
57.0,3,0.2204261572373255
127.0,2,0.14695077149155034
100.0,2,0.14695077149155034
119.0,2,0.14695077149155034
116.0,2,0.14695077149155034
110.0,2,0.14695077149155034
99.0,2,0.14695077149155034
94.0,2,0.14695077149155034
145.0,2,0.14695077149155034
131.0,2,0.14695077149155034
54.0,2,0.14695077149155034
139.0,2,0.14695077149155034
149.0,2,0.14695077149155034
77.0,2,0.14695077149155034
163.0,2,0.14695077149155034
158.0,2,0.14695077149155034
191.0,2,0.14695077149155034
210.0,2,0.14695077149155034
254.0,2,0.14695077149155034
301.0,1,0.07347538574577517
137.0,1,0.07347538574577517
133.0,1,0.07347538574577517
129.0,1,0.07347538574577517
92.0,1,0.07347538574577517
78.0,1,0.07347538574577517
80.0,1,0.07347538574577517
84.0,1,0.07347538574577517
86.0,1,0.07347538574577517
101.0,1,0.07347538574577517
89.0,1,0.07347538574577517
95.0,1,0.07347538574577517
112.0,1,0.07347538574577517
221.0,1,0.07347538574577517
104.0,1,0.07347538574577517
105.0,1,0.07347538574577517
107.0,1,0.07347538574577517
108.0,1,0.07347538574577517
224.0,1,0.07347538574577517
111.0,1,0.07347538574577517
218.0,1,0.07347538574577517
215.0,1,0.07347538574577517
7.0,1,0.07347538574577517
6.0,1,0.07347538574577517
36.0,1,0.07347538574577517
677.0,1,0.07347538574577517
51.0,1,0.07347538574577517
63.0,1,0.07347538574577517
141.0,1,0.07347538574577517
144.0,1,0.07347538574577517
146.0,1,0.07347538574577517
157.0,1,0.07347538574577517
165.0,1,0.07347538574577517
167.0,1,0.07347538574577517
172.0,1,0.07347538574577517
179.0,1,0.07347538574577517
185.0,1,0.07347538574577517
194.0,1,0.07347538574577517
214.0,1,0.07347538574577517
4.0,1,0.07347538574577517
