hoa,count,percent
0.0,1374,23.049823855057877
1000.0,82,1.3756081194430465
1200.0,71,1.1910753229323938
1500.0,70,1.174299614158698
1100.0,70,1.174299614158698
700.0,62,1.0400939439691328
2000.0,62,1.0400939439691328
600.0,58,0.9729911088743499
300.0,55,0.9226639825532629
400.0,54,0.9058882737795672
900.0,53,0.8891125650058715
500.0,53,0.8891125650058715
3000.0,52,0.8723368562321758
450.0,52,0.8723368562321758
1800.0,51,0.8555611474584801
800.0,51,0.8555611474584801
1400.0,50,0.8387854386847844
550.0,47,0.7884583123636973
1600.0,46,0.7716826035900016
1300.0,46,0.7716826035900016
2200.0,45,0.754906894816306
2500.0,42,0.704579768495219
1700.0,40,0.6710283509478275
650.0,39,0.6542526421741318
350.0,37,0.6207012246267405
750.0,36,0.6039255158530448
602.0,35,0.587149807079349
2600.0,34,0.5703740983056534
3500.0,33,0.5535983895319577
250.0,32,0.536822680758262
2800.0,31,0.5200469719845664
2100.0,30,0.5032712632108707
850.0,30,0.5032712632108707
2300.0,29,0.48649555443717496
2400.0,27,0.4529441368897836
480.0,25,0.4193927193423922
1900.0,24,0.40261701056869653
560.0,23,0.3858413017950008
1.0,21,0.3522898842476095
1650.0,21,0.3522898842476095
380.0,21,0.3522898842476095
200.0,20,0.33551417547391377
150.0,20,0.33551417547391377
470.0,19,0.3187384667002181
1250.0,19,0.3187384667002181
420.0,19,0.3187384667002181
4000.0,18,0.3019627579265224
950.0,18,0.3019627579265224
3200.0,18,0.3019627579265224
730.0,17,0.2851870491528267
1350.0,17,0.2851870491528267
280.0,16,0.268411340379131
2900.0,16,0.268411340379131
100.0,16,0.268411340379131
2700.0,16,0.268411340379131
430.0,16,0.268411340379131
980.0,15,0.25163563160543534
580.0,15,0.25163563160543534
390.0,15,0.25163563160543534
780.0,15,0.25163563160543534
670.0,14,0.23485992283173965
680.0,14,0.23485992283173965
1750.0,14,0.23485992283173965
620.0,14,0.23485992283173965
520.0,14,0.23485992283173965
460.0,14,0.23485992283173965
270.0,14,0.23485992283173965
3100.0,14,0.23485992283173965
330.0,14,0.23485992283173965
570.0,13,0.21808421405804396
385.0,13,0.21808421405804396
540.0,13,0.21808421405804396
3300.0,12,0.20130850528434827
1450.0,12,0.20130850528434827
530.0,12,0.20130850528434827
3600.0,12,0.20130850528434827
3800.0,12,0.20130850528434827
630.0,11,0.18453279651065257
4500.0,11,0.18453279651065257
1150.0,11,0.18453279651065257
4200.0,11,0.18453279651065257
590.0,11,0.18453279651065257
510.0,11,0.18453279651065257
660.0,11,0.18453279651065257
4300.0,11,0.18453279651065257
790.0,11,0.18453279651065257
1050.0,11,0.18453279651065257
290.0,11,0.18453279651065257
370.0,10,0.16775708773695688
1950.0,10,0.16775708773695688
320.0,10,0.16775708773695688
5000.0,10,0.16775708773695688
3700.0,10,0.16775708773695688
399.0,10,0.16775708773695688
890.0,10,0.16775708773695688
340.0,9,0.1509813789632612
760.0,9,0.1509813789632612
870.0,9,0.1509813789632612
50.0,9,0.1509813789632612
6000.0,9,0.1509813789632612
720.0,9,0.1509813789632612
960.0,8,0.1342056701895655
180.0,8,0.1342056701895655
690.0,8,0.1342056701895655
260.0,8,0.1342056701895655
710.0,8,0.1342056701895655
640.0,8,0.1342056701895655
490.0,8,0.1342056701895655
2450.0,8,0.1342056701895655
410.0,7,0.11742996141586982
2850.0,7,0.11742996141586982
880.0,7,0.11742996141586982
915.0,7,0.11742996141586982
1680.0,7,0.11742996141586982
860.0,7,0.11742996141586982
920.0,7,0.11742996141586982
830.0,7,0.11742996141586982
440.0,7,0.11742996141586982
610.0,6,0.10065425264217413
762.0,6,0.10065425264217413
695.0,6,0.10065425264217413
990.0,6,0.10065425264217413
486.0,6,0.10065425264217413
740.0,6,0.10065425264217413
1040.0,6,0.10065425264217413
2750.0,6,0.10065425264217413
1850.0,6,0.10065425264217413
840.0,6,0.10065425264217413
1180.0,6,0.10065425264217413
1520.0,6,0.10065425264217413
1260.0,6,0.10065425264217413
3400.0,6,0.10065425264217413
20.0,6,0.10065425264217413
930.0,6,0.10065425264217413
392.0,6,0.10065425264217413
2150.0,5,0.08387854386847844
885.0,5,0.08387854386847844
240.0,5,0.08387854386847844
1290.0,5,0.08387854386847844
120.0,5,0.08387854386847844
417.0,5,0.08387854386847844
3900.0,5,0.08387854386847844
473.0,5,0.08387854386847844
415.0,5,0.08387854386847844
1480.0,5,0.08387854386847844
360.0,5,0.08387854386847844
7000.0,5,0.08387854386847844
382.0,5,0.08387854386847844
782.0,5,0.08387854386847844
1550.0,5,0.08387854386847844
472.0,5,0.08387854386847844
820.0,5,0.08387854386847844
954.0,5,0.08387854386847844
592.0,5,0.08387854386847844
5500.0,5,0.08387854386847844
310.0,5,0.08387854386847844
505.0,5,0.08387854386847844
345.0,5,0.08387854386847844
1172.0,5,0.08387854386847844
632.0,4,0.06710283509478275
1170.0,4,0.06710283509478275
694.0,4,0.06710283509478275
626.0,4,0.06710283509478275
862.0,4,0.06710283509478275
965.0,4,0.06710283509478275
1325.0,4,0.06710283509478275
1320.0,4,0.06710283509478275
589.0,4,0.06710283509478275
284.0,4,0.06710283509478275
220.0,4,0.06710283509478275
756.0,4,0.06710283509478275
230.0,4,0.06710283509478275
3450.0,4,0.06710283509478275
160.0,4,0.06710283509478275
940.0,4,0.06710283509478275
90.0,4,0.06710283509478275
907.0,4,0.06710283509478275
970.0,4,0.06710283509478275
60.0,4,0.06710283509478275
886.0,4,0.06710283509478275
722.0,4,0.06710283509478275
583.0,4,0.06710283509478275
