id,name,show_id,count,percent,director_id
82,Aarti Mann,80039050,1,0.002228114346828279,81123050
83,Aarti Patel,80990811,1,0.002228114346828279,80122177
84,Aarubala,81045060,1,0.002228114346828279,70290904
85,Aarushi Sharma,81217746,1,0.002228114346828279,80228321
86,Aarya Dave,81094082,1,0.002228114346828279,70006866
87,Aarya DharmChand Kumar,80102266,1,0.002228114346828279,81018233
88,Aaryan Menon,81045765,1,0.002228114346828279,80155792
89,Aaryansh Malviya,80996338,1,0.002228114346828279,80242828
90,Aarón Díaz,70236010,1,0.002228114346828279,"70058022,80151370,81036190"
91,Aasha Pawar,70144331,1,0.002228114346828279,81000505
92,Aashi Rawal,81086640,1,0.002228114346828279,81035880
93,Aashif Sheikh,70021253,1,0.002228114346828279,70303429
94,Aashish Chaudhary,"70111279,70125939,81213888",3,0.006684343040484838,"80131563,80161921"
95,Aasif Mandvi,"70128697,70222860,80050008",3,0.006684343040484838,80063290
96,Aayam Mehta,"70185141,80201824",2,0.004456228693656558,80102952
97,Aayan Boradia,70139542,1,0.002228114346828279,848915
98,Abayomi Alvin,81172848,1,0.002228114346828279,70043379
99,Abbas,"80087078,80120301,80187467,80198859,81036338,81047445,81155803",1,0.002228114346828279,80017099
100,Abbi Jacobson,"80095697,80130625",2,0.004456228693656558,80213400
101,Abbie Cornish,"70125232,70142827,80125512,80178280",4,0.008912457387313116,"70219642,70235731,70261978"
102,Abby Bergman,80243216,1,0.002228114346828279,80160358
103,Abby Donnelly,"80223928,80244783",2,0.004456228693656558,70114342
104,Abby Miller,80175802,1,0.002228114346828279,80988048
105,Abby Rakic-Platt,80130911,1,0.002228114346828279,81123826
106,Abby Ryder Fortson,80220813,1,0.002228114346828279,80121843
107,Abby Trott,"80147923,80167821,81028556,81028560,81028574",5,0.011140571734141397,80081958
108,Abdalah Mishrif,"81035858,81035868,81035880",3,0.006684343040484838,"70043303,80184661"
109,Abdelaziz N'Mila,"81035748,81035749,81035750",3,0.006684343040484838,70266171
110,Abdelilah Wahbi,"81035748,81035749,81035750,81035751",4,0.008912457387313116,"80098709,81141694"
111,Abdellah Didane,80060037,1,0.002228114346828279,70045866
112,Abdi Sidow Farah,80202728,1,0.002228114346828279,80028965
113,Abdo Chahine,81003648,1,0.002228114346828279,80162246
114,Abdul Mohsen Alnimer,81049348,1,0.002228114346828279,80245357
115,Abdul Qadir,80080145,1,0.002228114346828279,81218079
116,Abdulla Bu Shehri,81049348,1,0.002228114346828279,80990221
117,Abdullah Al Yousef,81074140,1,0.002228114346828279,"80035685,81196441"
118,Abdullah Al-Turkumani,81104372,1,0.002228114346828279,80144119
119,Abdullah Al-bloshi,81049315,1,0.002228114346828279,81001000
120,Abdullah Almaqbali,81026986,1,0.002228114346828279,80168234
121,Abdullah Bahman,81049739,1,0.002228114346828279,80063773
122,Abdullah Bin Haidar,81026986,1,0.002228114346828279,81143771
123,Abdullah Jan,80114155,1,0.002228114346828279,80108759
124,Abdulmajeed Al-Ruhaidi,80103282,1,0.002228114346828279,81060096
125,Abdulmohsen Al-Qaffas,81049739,1,0.002228114346828279,80023689
126,Abdur Arsyad,81021832,1,0.002228114346828279,80007215
127,Abdur Rehman,81213876,1,0.002228114346828279,80172284
128,Abdurrahman Arif,81016323,1,0.002228114346828279,80192097
129,Abe Goldfarb,80007778,1,0.002228114346828279,80997859
130,Abe Vigoda,60028097,1,0.002228114346828279,"80104420,80117746,80224060"
131,Abeer Abrar,70090035,1,0.002228114346828279,81003460
132,Abeer Ahmad,81104339,1,0.002228114346828279,80215139
133,Abeer Mansour,81035854,1,0.002228114346828279,"408911,70095135"
134,Abel Ayala,80115297,1,0.002228114346828279,80195049
135,Abel Ferrara,81150338,1,0.002228114346828279,80173150
136,Abel Folk,80988860,1,0.002228114346828279,80244973
137,Abel McSurely Bradshaw,80107948,1,0.002228114346828279,80238110
138,Abena Ayivor,80145141,1,0.002228114346828279,80059432
139,Abhay Deol,"70034610,70056728,70109758,70113305,70202336,70244982,70254352,80038446,80165732,80993095,81005364",11,0.024509257815111072,"80160759,80225034"
140,Abhay Kulkarni,81045072,1,0.002228114346828279,80164164
141,Abhay Mahajan,"80157889,80990814,81123052",3,0.006684343040484838,81009829
142,Abhijit Kelkar,70128225,1,0.002228114346828279,80189827
143,Abhijit Sinha,81213876,1,0.002228114346828279,70266677
144,Abhimanyu Dassani,81057229,1,0.002228114346828279,"80186829,80223271"
145,Abhimanyu Singh,"70289558,80201175,81077597,81215481",4,0.008912457387313116,80245121
146,Abhinav Gomatam,81052275,1,0.002228114346828279,80125818
147,Abhinav Shukla,80122193,1,0.002228114346828279,80144890
148,Abhishek Bachchan,"70001082,70001564,70063017,70065769,70073018,70113306,70181734,70229498,80017528",9,0.020053029121454513,80992769
149,Abhishek Banerjee,"80993495,81113919,81113921",3,0.006684343040484838,"80202810,80232891"
150,Abhishek D Shah,81052277,1,0.002228114346828279,701346
151,Abhishek Duhan,81076749,1,0.002228114346828279,"60023237,70055221,80240715"
152,Abhishek H.N.,80107370,1,0.002228114346828279,80235767
